"ts","throughput_bps"
2026-06-13 19:55:59.000 +0700,38299520
2026-06-13 19:55:58.000 +0700,38830176
2026-06-13 19:55:57.000 +0700,38668672
2026-06-13 19:55:56.000 +0700,38564848
2026-06-13 19:55:55.000 +0700,38449488
2026-06-13 19:55:54.000 +0700,18343712
2026-06-13 19:55:53.000 +0700,41495728
2026-06-13 19:55:52.000 +0700,38530240
2026-06-13 19:55:51.000 +0700,38645600
2026-06-13 19:55:50.000 +0700,38830176
2026-06-13 19:55:49.000 +0700,38207232
2026-06-13 19:55:48.000 +0700,38599456
2026-06-13 19:55:47.000 +0700,38726352
2026-06-13 19:55:46.000 +0700,37365104
2026-06-13 19:55:45.000 +0700,3194832
2026-06-13 19:55:44.000 +0700,2129888
2026-06-13 19:55:43.000 +0700,3194832
2026-06-13 19:55:42.000 +0700,2129888
2026-06-13 19:55:41.000 +0700,3195720
2026-06-13 19:55:40.000 +0700,4712
2026-06-13 19:55:37.000 +0700,361920
2026-06-13 19:55:36.000 +0700,960960
2026-06-13 19:55:35.000 +0700,992160
2026-06-13 19:55:34.000 +0700,977600
2026-06-13 19:55:33.000 +0700,1069776
2026-06-13 19:55:32.000 +0700,2124080
2026-06-13 19:55:31.000 +0700,3184800
2026-06-13 19:55:30.000 +0700,2122496
2026-06-13 19:55:29.000 +0700,2123024
2026-06-13 19:55:28.000 +0700,3185856
2026-06-13 19:55:27.000 +0700,2124608
2026-06-13 19:55:26.000 +0700,2124080
2026-06-13 19:55:25.000 +0700,3186384
2026-06-13 19:55:24.000 +0700,2124080
2026-06-13 19:55:23.000 +0700,2124608
2026-06-13 19:55:22.000 +0700,3185856
2026-06-13 19:55:21.000 +0700,2124608
2026-06-13 19:55:20.000 +0700,2124608
2026-06-13 19:55:19.000 +0700,3186912
2026-06-13 19:55:18.000 +0700,2125136
2026-06-13 19:55:17.000 +0700,2125664
2026-06-13 19:55:16.000 +0700,3187440
2026-06-13 19:55:15.000 +0700,2126192
2026-06-13 19:55:14.000 +0700,2127248
2026-06-13 19:55:13.000 +0700,3193248
2026-06-13 19:55:12.000 +0700,22634384
2026-06-13 19:55:11.000 +0700,37914480
2026-06-13 19:55:10.000 +0700,17759856
2026-06-13 19:55:09.000 +0700,38749424
2026-06-13 19:55:08.000 +0700,38461024
2026-06-13 19:55:07.000 +0700,38599456
2026-06-13 19:55:06.000 +0700,38991680
2026-06-13 19:55:05.000 +0700,39026288
2026-06-13 19:55:04.000 +0700,38564848
2026-06-13 19:55:03.000 +0700,38887856
2026-06-13 19:55:02.000 +0700,38576384
2026-06-13 19:55:01.000 +0700,25022320
2026-06-13 19:55:00.000 +0700,38645600
2026-06-13 19:54:59.000 +0700,38830176
2026-06-13 19:54:58.000 +0700,38922464
2026-06-13 19:54:57.000 +0700,38899392
2026-06-13 19:54:56.000 +0700,38784032
2026-06-13 19:54:55.000 +0700,38622528
2026-06-13 19:54:54.000 +0700,38541776
2026-06-13 19:54:53.000 +0700,22519744
2026-06-13 19:54:52.000 +0700,38391808
2026-06-13 19:54:51.000 +0700,38645600
2026-06-13 19:54:50.000 +0700,38322592
2026-06-13 19:54:49.000 +0700,38691744
2026-06-13 19:54:48.000 +0700,37399712
2026-06-13 19:54:47.000 +0700,38218768
2026-06-13 19:54:46.000 +0700,38287984
2026-06-13 19:54:45.000 +0700,38484096
2026-06-13 19:54:44.000 +0700,38576384
2026-06-13 19:54:43.000 +0700,38276448
