"ts","throughput_bps"
2026-06-10 03:09:00.000 +0700,26417440
2026-06-10 03:09:01.000 +0700,26140576
2026-06-10 03:09:02.000 +0700,26486656
2026-06-10 03:09:03.000 +0700,24340960
2026-06-10 03:09:04.000 +0700,26129040
2026-06-10 03:09:05.000 +0700,26636624
2026-06-10 03:09:06.000 +0700,26082896
2026-06-10 03:09:07.000 +0700,25598384
2026-06-10 03:09:08.000 +0700,26682768
2026-06-10 03:09:09.000 +0700,26440512
2026-06-10 03:09:10.000 +0700,26728912
2026-06-10 03:09:11.000 +0700,26186720
2026-06-10 03:09:12.000 +0700,25448416
2026-06-10 03:09:13.000 +0700,27109600
2026-06-10 03:09:14.000 +0700,26475120
2026-06-10 03:09:15.000 +0700,26013680
2026-06-10 03:09:16.000 +0700,25806032
2026-06-10 03:09:17.000 +0700,25436880
2026-06-10 03:09:18.000 +0700,25563776
2026-06-10 03:09:19.000 +0700,26544336
2026-06-10 03:09:20.000 +0700,25944464
2026-06-10 03:09:21.000 +0700,25979072
2026-06-10 03:09:22.000 +0700,26163648
2026-06-10 03:09:23.000 +0700,26890416
2026-06-10 03:09:24.000 +0700,25586848
2026-06-10 03:09:25.000 +0700,26175184
2026-06-10 03:09:26.000 +0700,25586848
2026-06-10 03:09:27.000 +0700,13658624
2026-06-10 03:09:28.000 +0700,26105968
2026-06-10 03:09:29.000 +0700,26313616
2026-06-10 03:09:30.000 +0700,26094432
2026-06-10 03:09:31.000 +0700,25125408
2026-06-10 03:09:32.000 +0700,25979072
2026-06-10 03:09:33.000 +0700,25563776
2026-06-10 03:09:34.000 +0700,24756256
2026-06-10 03:09:35.000 +0700,26175184
2026-06-10 03:09:36.000 +0700,26059824
2026-06-10 03:09:37.000 +0700,26117504
2026-06-10 03:09:38.000 +0700,25967536
2026-06-10 03:09:39.000 +0700,26336688
2026-06-10 03:09:40.000 +0700,25806032
2026-06-10 03:09:41.000 +0700,25321520
2026-06-10 03:09:42.000 +0700,26290544
2026-06-10 03:09:43.000 +0700,18377952
2026-06-10 03:09:44.000 +0700,26625088
2026-06-10 03:09:45.000 +0700,26636624
2026-06-10 03:09:46.000 +0700,25229232
2026-06-10 03:09:47.000 +0700,26463584
2026-06-10 03:09:48.000 +0700,24525536
2026-06-10 03:09:49.000 +0700,22449056
2026-06-10 03:09:50.000 +0700,20095712
2026-06-10 03:09:51.000 +0700,19980352
2026-06-10 03:09:52.000 +0700,23798768
2026-06-10 03:09:53.000 +0700,25298448
2026-06-10 03:09:54.000 +0700,26186720
2026-06-10 03:09:55.000 +0700,26544336
2026-06-10 03:09:56.000 +0700,26094432
2026-06-10 03:09:57.000 +0700,26359760
2026-06-10 03:09:58.000 +0700,13450976
2026-06-10 03:09:59.000 +0700,26717376
2026-06-10 03:10:00.000 +0700,22160656
2026-06-10 03:10:01.000 +0700,26221328
2026-06-10 03:10:02.000 +0700,26763520
2026-06-10 03:10:03.000 +0700,25817568
2026-06-10 03:10:04.000 +0700,25863712
2026-06-10 03:10:05.000 +0700,26705840
2026-06-10 03:10:06.000 +0700,26129040
2026-06-10 03:10:07.000 +0700,25806032
2026-06-10 03:10:08.000 +0700,26567408
2026-06-10 03:10:09.000 +0700,26371296
2026-06-10 03:10:10.000 +0700,25413808
2026-06-10 03:10:11.000 +0700,25644528
2026-06-10 03:10:12.000 +0700,26325152
2026-06-10 03:10:13.000 +0700,32727632
2026-06-10 03:10:14.000 +0700,11825504
2026-06-10 03:10:15.000 +0700,25609920
2026-06-10 03:10:16.000 +0700,25563776
2026-06-10 03:10:17.000 +0700,25690672
2026-06-10 03:10:18.000 +0700,25713744
2026-06-10 03:10:19.000 +0700,26048288
2026-06-10 03:10:20.000 +0700,26105968
2026-06-10 03:10:21.000 +0700,25160016
2026-06-10 03:10:22.000 +0700,25194624
2026-06-10 03:10:23.000 +0700,25044656
2026-06-10 03:10:24.000 +0700,26221328
2026-06-10 03:10:25.000 +0700,25875248
2026-06-10 03:10:26.000 +0700,25552240
2026-06-10 03:10:27.000 +0700,26498192
2026-06-10 03:10:28.000 +0700,25010048
2026-06-10 03:10:29.000 +0700,25459952
2026-06-10 03:10:30.000 +0700,26313616
2026-06-10 03:10:31.000 +0700,25621456
2026-06-10 03:10:32.000 +0700,25194624
2026-06-10 03:10:33.000 +0700,26186720
2026-06-10 03:10:34.000 +0700,21135056
2026-06-10 03:10:35.000 +0700,24733184
2026-06-10 03:10:36.000 +0700,26382832
2026-06-10 03:10:37.000 +0700,26232864
2026-06-10 03:10:38.000 +0700,25806032
2026-06-10 03:10:39.000 +0700,26302080
2026-06-10 03:10:40.000 +0700,26094432
2026-06-10 03:10:41.000 +0700,25713744
2026-06-10 03:10:42.000 +0700,26105968
2026-06-10 03:10:43.000 +0700,26198256
2026-06-10 03:10:44.000 +0700,25944464
2026-06-10 03:10:45.000 +0700,25644528
2026-06-10 03:10:46.000 +0700,25644528
2026-06-10 03:10:47.000 +0700,25921392
2026-06-10 03:10:48.000 +0700,25471488
2026-06-10 03:10:49.000 +0700,25021584
2026-06-10 03:10:50.000 +0700,24444784
2026-06-10 03:10:51.000 +0700,25183088
2026-06-10 03:10:52.000 +0700,25517632
2026-06-10 03:10:53.000 +0700,27248032
2026-06-10 03:10:54.000 +0700,27559504
2026-06-10 03:10:55.000 +0700,15736208
2026-06-10 03:10:56.000 +0700,16196544
2026-06-10 03:10:57.000 +0700,17361680
2026-06-10 03:10:58.000 +0700,22587488
2026-06-10 03:10:59.000 +0700,25944464
2026-06-10 03:11:00.000 +0700,25090800
2026-06-10 03:11:01.000 +0700,12228160
